7.119348563334941673e+02,1.589379723743466855e+01,1.196623390745745197e-01,1.000070153964993137e-02,9.100840571909820653e-01,1.000140312851564942e-04
9.516168338476695965e+01,5.180201903291933974e+00,2.947730357777280652e-01,2.333160874768606258e-02,9.738346590328688102e-01,5.443639667551007427e-04
2.695169149596488296e+02,8.495810055865698374e+00,3.075824997896794977e-01,5.147298343224311623e-02,9.303647554997712676e-01,2.649468023415974330e-03
7.773885402241163547e+02,1.927258627655146839e+01,7.710966983852203527e-02,9.185078766479547532e-03,8.717428587812374730e-01,8.436567194643345455e-05
9.524969525079335426e+02,2.061974196418233873e+01,8.275423512319506070e-02,9.144099348684552736e-03,8.473276575775364750e-01,8.361455289861326190e-05
6.122592487075811505e+02,1.718403503218803863e+01,8.090052834422931105e-02,1.343988150331703116e-02,8.256124814066700957e-01,1.806304148232032501e-04
5.442849036171143098e+02,1.045735325969359053e+01,3.504636213976392578e-01,5.329194449641853903e-02,9.447906698945293114e-01,2.840031348209353951e-03
4.140673501217887633e+02,1.302204427876012716e+01,1.128533356711966390e-01,1.247834647689278001e-02,8.974732156275184725e-01,1.557091307973824425e-04
1.845645321333875302e+02,7.333310257298200519e+00,2.113270228956527497e-01,1.943009557630664616e-02,9.411600300457887425e-01,3.775286141044111162e-04
1.680581204297329521e+02,8.011826306762639405e+00,1.834473898643934620e-01,1.546069416783029532e-02,9.666922605655133838e-01,2.390330641511816947e-04
2.149428113174482462e+02,6.699120366889852463e+00,4.312454351445264011e-01,2.825192517343211862e-01,9.810834571442452745e-01,7.981712760052075972e-02
5.486575906743769337e+02,1.322188333292796791e+01,2.728505698542982860e-01,4.423453624587941196e-02,9.401504633084646345e-01,1.956694196888019485e-03
1.578843982539925719e+02,5.837056744959197019e+00,4.440008284206100053e-01,8.023221912440330061e-02,9.541131196578817031e-01,6.437208985626267053e-03
9.851039630575077410e+01,4.926706248373135644e+00,3.329084324487980862e-01,3.068267387158177609e-02,9.647407010082414969e-01,9.414264759098469942e-04
5.619762208433844535e+02,1.406728482539116243e+01,1.317497046767794611e-01,1.015361932553403117e-02,9.339052485626587741e-01,1.030959854078581370e-04
5.745250814171489537e+02,1.490319957983169630e+01,1.182337926236897152e-01,1.244851933033266564e-02,7.926948862207081614e-01,1.549656335176660248e-04
3.182042104993129783e+02,8.084289730308801936e+00,3.370481105047104520e-01,7.379503770915094019e-02,9.590005668955700058e-01,5.445707590495009812e-03
3.328616803278729463e+01,2.683752927400535615e+00,4.927523238560715946e-01,3.521661072074564608e-02,9.900189261911219729e-01,1.240209670656537179e-03
1.918909895419052347e+01,1.706757413039539983e+00,6.484916462022588535e-01,1.472004787660803060e-01,9.984873087695546046e-01,2.166798094896325508e-02
3.356794585830439814e+02,8.858715947598689411e+00,2.619107002698264353e-01,2.354695250502615578e-02,9.715938199404250408e-01,5.544589722739574943e-04
